#,Date,Airport,Business Jet,Business Aviation,Departures,Arrivals,Total Operations,Departure Seats,Average Departure Seats,Arrival Seats,Average Arrival Seats
590,10/2011,MSP - Minneapolis,No,No,"17,357","17,217","34,574","1,724,115",99,"1,715,140",99
591,10/2011,MSP - Minneapolis,No,Yes,285,299,584,"1,420",4,"1,471",4
Sub-Total for No,,,,,"17,642","17,516","35,158","1,725,535",97,"1,716,611",98
592,10/2011,MSP - Minneapolis,Yes,Yes,678,666,"1,344","7,457",10,"7,366",11
Sub-Total for Yes,,,,,963,965,"1,928","8,877",9,"8,837",9
Sub-Total for MSP - Minneapolis,,,,,"18,320","18,182","36,502","1,732,992",94,"1,723,977",94
593,10/2011,ORD - Chicago,No,No,"37,603","37,264","74,867","3,898,980",103,"3,871,925",103
594,10/2011,ORD - Chicago,No,Yes,202,203,405,"2,271",11,"2,277",11
Sub-Total for No,,,,,"37,805","37,467","75,272","3,901,251",103,"3,874,202",103
595,10/2011,ORD - Chicago,Yes,Yes,402,397,799,"4,590",11,"4,568",11
Sub-Total for Yes,,,,,604,600,"1,204","6,861",11,"6,845",11
Sub-Total for ORD - Chicago,,,,,"38,207","37,864","76,071","3,905,841",102,"3,878,770",102
596,10/2011,PHL - Philadelphia,Unknown,Unknown,1,0,1,0,0,0,0
597,10/2011,PHL - Philadelphia,No,No,"18,211","18,077","36,288","1,685,458",92,"1,679,279",92
598,10/2011,PHL - Philadelphia,No,Yes,200,187,387,"1,283",6,"1,216",6
Sub-Total for No,,,,,"18,411","18,264","36,675","1,686,741",91,"1,680,495",92
599,10/2011,PHL - Philadelphia,Yes,Yes,724,732,"1,456","7,917",10,"8,065",11
Sub-Total for Yes,,,,,924,919,"1,843","9,200",9,"9,281",10
Sub-Total for PHL - Philadelphia,,,,,"19,136","18,996","38,132","1,694,658",88,"1,688,560",88
600,10/2011,PHX - Phoenix,Unknown,Unknown,1,1,2,0,0,0,0
601,10/2011,PHX - Phoenix,No,No,"17,801","17,446","35,247","2,120,981",119,"2,110,608",120
602,10/2011,PHX - Phoenix,No,Yes,547,379,926,"2,287",4,"1,415",3
Sub-Total for No,,,,,"18,348","17,825","36,173","2,123,268",115,"2,112,023",118
603,10/2011,PHX - Phoenix,Yes,Yes,586,598,"1,184","5,503",9,"5,633",9
Sub-Total for Yes,,,,,"1,133",977,"2,110","7,790",6,"7,048",7
Sub-Total for PHX - Phoenix,,,,,"18,935","18,424","37,359","2,128,771",112,"2,117,656",114
604,10/2011,SEA - Seattle,No,No,"13,067","13,001","26,068","1,693,388",129,"1,683,936",129
605,10/2011,SEA - Seattle,No,Yes,112,122,234,29,0,21,0
Sub-Total for No,,,,,"13,179","13,123","26,302","1,693,417",128,"1,683,957",128
606,10/2011,SEA - Seattle,Yes,Yes,90,89,179,870,9,871,9
Sub-Total for Yes,,,,,202,211,413,899,4,892,4
Sub-Total for SEA - Seattle,,,,,"13,269","13,212","26,481","1,694,287",127,"1,684,828",127
607,10/2011,SFO - San Francisco,No,No,"16,848","16,730","33,578","2,337,231",138,"2,322,102",138
608,10/2011,SFO - San Francisco,No,Yes,140,132,272,975,6,911,6
Sub-Total for No,,,,,"16,988","16,862","33,850","2,338,206",137,"2,323,013",137
609,10/2011,SFO - San Francisco,Yes,Yes,830,825,"1,655","9,424",11,"9,391",11
Sub-Total for Yes,,,,,970,957,"1,927","10,399",10,"10,302",10
Sub-Total for SFO - San Francisco,,,,,"17,818","17,687","35,505","2,347,630",131,"2,332,404",131
Sub-Total for 10/2011,,,,,"420,241","416,204","836,445","48,097,440",114,"47,813,880",114
610,11/2011,ATL - Atlanta,No,No,"36,602","36,662","73,264","4,719,426",128,"4,730,067",129
611,11/2011,ATL - Atlanta,No,Yes,142,140,282,"1,525",10,"1,519",10
Sub-Total for No,,,,,"36,744","36,802","73,546","4,720,951",128,"4,731,586",128
612,11/2011,ATL - Atlanta,Yes,Yes,213,210,423,"2,128",9,"2,122",10
Sub-Total for Yes,,,,,355,350,705,"3,653",10,"3,641",10
Sub-Total for ATL - Atlanta,,,,,"36,957","37,012","73,969","4,723,079",127,"4,733,708",127
613,11/2011,BOS - Boston,No,No,"12,105","12,073","24,178","1,470,195",121,"1,481,225",122
614,11/2011,BOS - Boston,No,Yes,"1,304",897,"2,201","5,958",4,"4,303",4
Sub-Total for No,,,,,"13,409","12,970","26,379","1,476,153",110,"1,485,528",114
615,11/2011,BOS - Boston,Yes,Yes,805,821,"1,626","9,164",11,"9,384",11
Sub-Total for Yes,,,,,"2,109","1,718","3,827","15,122",7,"13,687",7
Sub-Total for BOS - Boston,,,,,"14,214","13,791","28,005","1,485,317",104,"1,494,912",108
616,11/2011,CLT - Charlotte,No,No,"20,457","20,435","40,892","2,001,969",97,"2,004,863",98
617,11/2011,CLT - Charlotte,No,Yes,449,451,900,"2,985",6,"3,005",6
Sub-Total for No,,,,,"20,906","20,886","41,792","2,004,954",95,"2,007,868",96
618,11/2011,CLT - Charlotte,Yes,Yes,810,817,"1,627","8,869",10,"8,964",10
Sub-Total for Yes,,,,,"1,259","1,268","2,527","11,854",9,"11,969",9
Sub-Total for CLT - Charlotte,,,,,"21,716","21,703","43,419","2,013,823",92,"2,016,832",92
619,11/2011,DEN - Denver,No,No,"23,785","23,799","47,584","2,436,289",102,"2,436,598",102
620,11/2011,DEN - Denver,No,Yes,154,147,301,"1,164",7,"1,143",7
Sub-Total for No,,,,,"23,939","23,946","47,885","2,437,453",101,"2,437,741",101
621,11/2011,DEN - Denver,Yes,Yes,131,135,266,"1,437",10,"1,465",10
Sub-Total for Yes,,,,,285,282,567,"2,601",9,"2,608",9
Sub-Total for DEN - Denver,,,,,"24,070","24,081","48,151","2,438,890",101,"2,439,206",101
622,11/2011,DFW - Dallas/Ft. Worth,No,No,"25,412","25,391","50,803","3,019,335",118,"3,022,513",119
623,11/2011,DFW - Dallas/Ft. Worth,No,Yes,178,152,330,"2,000",11,"1,673",11
Sub-Total for No,,,,,"25,590","25,543","51,133","3,021,335",118,"3,024,186",118
624,11/2011,DFW - Dallas/Ft. Worth,Yes,Yes,204,209,413,"2,009",9,"2,028",9
Sub-Total for Yes,,,,,382,361,743,"4,009",10,"3,701",10
Sub-Total for DFW - Dallas/Ft. Worth,,,,,"25,794","25,752","51,546","3,023,344",117,"3,026,214",117
625,11/2011,DTW - Detroit,No,No,"17,566","17,605","35,171","1,645,623",93,"1,653,532",93
626,11/2011,DTW - Detroit,No,Yes,53,52,105,379,7,367,7
Sub-Total for No,,,,,"17,619","17,657","35,276","1,646,002",93,"1,653,899",93
627,11/2011,DTW - Detroit,Yes,Yes,244,241,485,"2,582",10,"2,608",10
Sub-Total for Yes,,,,,297,293,590,"2,961",9,"2,975",10
Sub-Total for DTW - Detroit,,,,,"17,863","17,898","35,761","1,648,584",92,"1,656,507",92
628,11/2011,EWR - Newark,No,No,"16,427","16,511","32,938","1,875,972",114,"1,890,656",114
629,11/2011,EWR - Newark,No,Yes,227,244,471,"2,065",9,"2,216",9
Sub-Total for No,,,,,"16,654","16,755","33,409","1,878,037",112,"1,892,872",112
630,11/2011,EWR - Newark,Yes,Yes,266,263,529,"3,081",11,"3,008",11
Sub-Total for Yes,,,,,493,507,"1,000","5,146",10,"5,224",10
Sub-Total for EWR - Newark,,,,,"16,920","17,018","33,938","1,881,118",111,"1,895,880",111
631,11/2011,IAH - Houston,No,No,"20,185","20,186","40,371","2,102,141",104,"2,097,283",103
632,11/2011,IAH - Houston,No,Yes,144,130,274,"1,409",9,"1,308",10
Sub-Total for No,,,,,"20,329","20,316","40,645","2,103,550",103,"2,098,591",103
633,11/2011,IAH - Houston,Yes,Yes,540,533,"1,073","6,088",11,"5,954",11
Sub-Total for Yes,,,,,684,663,"1,347","7,497",10,"7,262",10
Sub-Total for IAH - Houston,,,,,"20,869","20,849","41,718","2,109,638",101,"2,104,545",100
634,11/2011,JFK - New York,No,No,"15,849","16,019","31,868","2,589,276",163,"2,616,057",163
635,11/2011,JFK - New York,No,Yes,38,40,78,261,6,291,7
Sub-Total for No,,,,,"15,887","16,059","31,946","2,589,537",162,"2,616,348",162
636,11/2011,JFK - New York,Yes,Yes,192,187,379,"2,096",10,"2,050",10
Sub-Total for Yes,,,,,230,227,457,"2,357",10,"2,341",10
Sub-Total for JFK - New York,,,,,"16,079","16,246","32,325","2,591,633",161,"2,618,398",161
637,11/2011,LAS - Las Vegas,No,No,"14,606","14,613","29,219","2,015,763",138,"2,015,218",137
638,11/2011,LAS - Las Vegas,No,Yes,337,331,668,"2,540",7,"2,538",7
Sub-Total for No,,,,,"14,943","14,944","29,887","2,018,303",135,"2,017,756",135
639,11/2011,LAS - Las Vegas,Yes,Yes,"1,912","1,900","3,812","20,863",10,"20,777",10
Sub-Total for Yes,,,,,"2,249","2,231","4,480","23,403",10,"23,315",10
Sub-Total for LAS - Las Vegas,,,,,"16,855","16,844","33,699","2,039,166",120,"2,038,533",121
640,11/2011,LAX - Los Angeles,No,No,"23,168","23,167","46,335","3,232,378",139,"3,229,662",139
641,11/2011,LAX - Los Angeles,No,Yes,59,55,114,407,6,378,6
Sub-Total for No,,,,,"23,227","23,222","46,449","3,232,785",139,"3,230,040",139
642,11/2011,LAX - Los Angeles,Yes,Yes,805,809,"1,614","9,513",11,"9,509",11
Sub-Total for Yes,,,,,864,864,"1,728","9,920",11,"9,887",11
Sub-Total for LAX - Los Angeles,,,,,"24,032","24,031","48,063","3,242,298",134,"3,239,549",134
643,11/2011,LGA - New York,No,No,"14,774","14,849","29,623","1,392,285",94,"1,396,049",94
644,11/2011,LGA - New York,No,Yes,49,47,96,385,7,356,7
Sub-Total for No,,,,,"14,823","14,896","29,719","1,392,670",93,"1,396,405",93
645,11/2011,LGA - New York,Yes,Yes,321,324,645,"3,722",11,"3,792",11
Sub-Total for Yes,,,,,370,371,741,"4,107",11,"4,148",11
Sub-Total for LGA - New York,,,,,"15,144","15,220","30,364","1,396,392",92,"1,400,197",91
646,11/2011,MCO - Orlando,No,No,"11,488","11,486","22,974","1,653,438",143,"1,654,434",144
647,11/2011,MCO - Orlando,No,Yes,205,198,403,"1,027",5,942,4
Sub-Total for No,,,,,"11,693","11,684","23,377","1,654,465",141,"1,655,376",141
648,11/2011,MCO - Orlando,Yes,Yes,582,586,"1,168","5,784",9,"5,802",9
Sub-Total for Yes,,,,,787,784,"1,571","6,811",8,"6,744",8
Sub-Total for MCO - Orlando,,,,,"12,275","12,270","24,545","1,660,249",135,"1,661,178",135
649,11/2011,MIA - Miami,No,No,"14,842","14,886","29,728","2,319,344",156,"2,335,590",156
650,11/2011,MIA - Miami,No,Yes,220,201,421,"1,614",7,"1,467",7
Sub-Total for No,,,,,"15,062","15,087","30,149","2,320,958",154,"2,337,057",154
651,11/2011,MIA - Miami,Yes,Yes,"1,009","1,094","2,103","11,082",10,"11,993",10
Sub-Total for Yes,,,,,"1,229","1,295","2,524","12,696",10,"13,460",10
Sub-Total for MIA - Miami,,,,,"16,071","16,181","32,252","2,332,040",145,"2,349,050",145
652,11/2011,MSP - Minneapolis,No,No,"15,744","15,756","31,500","1,557,619",98,"1,559,151",98
653,11/2011,MSP - Minneapolis,No,Yes,227,226,453,"1,081",4,"1,072",4
Sub-Total for No,,,,,"15,971","15,982","31,953","1,558,700",97,"1,560,223",97
654,11/2011,MSP - Minneapolis,Yes,Yes,620,620,"1,240","6,962",11,"6,958",11
Sub-Total for Yes,,,,,847,846,"1,693","8,043",9,"8,030",9
Sub-Total for MSP - Minneapolis,,,,,"16,591","16,602","33,193","1,565,662",94,"1,567,181",94
655,11/2011,ORD - Chicago,No,No,"33,789","33,831","67,620","3,451,768",102,"3,467,768",102
656,11/2011,ORD - Chicago,No,Yes,184,185,369,"2,120",11,"2,115",11
Sub-Total for No,,,,,"33,973","34,016","67,989","3,453,888",101,"3,469,883",102
657,11/2011,ORD - Chicago,Yes,Yes,368,376,744,"4,115",11,"4,159",11
Sub-Total for Yes,,,,,552,561,"1,113","6,235",11,"6,274",11
Sub-Total for ORD - Chicago,,,,,"34,341","34,392","68,733","3,458,003",100,"3,474,042",101
658,11/2011,PHL - Philadelphia,No,No,"16,906","16,935","33,841","1,569,236",92,"1,578,346",93
659,11/2011,PHL - Philadelphia,No,Yes,146,142,288,853,5,822,5
Sub-Total for No,,,,,"17,052","17,077","34,129","1,570,089",92,"1,579,168",92
660,11/2011,PHL - Philadelphia,Yes,Yes,681,681,"1,362","7,393",10,"7,349",10
Sub-Total for Yes,,,,,827,823,"1,650","8,246",9,"8,171",9
Sub-Total for PHL - Philadelphia,,,,,"17,733","17,758","35,491","1,577,482",88,"1,586,517",89
661,11/2011,PHX - Phoenix,No,No,"17,211","16,956","34,167","2,068,795",120,"2,067,420",121
662,11/2011,PHX - Phoenix,No,Yes,579,399,978,"2,489",4,"1,566",3
Sub-Total for No,,,,,"17,790","17,355","35,145","2,071,284",116,"2,068,986",119
663,11/2011,PHX - Phoenix,Yes,Yes,688,695,"1,383","6,681",9,"6,795",9
Sub-Total for Yes,,,,,"1,267","1,094","2,361","9,170",7,"8,361",7
Sub-Total for PHX - Phoenix,,,,,"18,478","18,050","36,528","2,077,965",112,"2,075,781",115
664,11/2011,SEA - Seattle,No,No,"11,957","11,960","23,917","1,559,376",130,"1,560,458",130
665,11/2011,SEA - Seattle,No,Yes,96,105,201,41,0,33,0
Sub-Total for No,,,,,"12,053","12,065","24,118","1,559,417",129,"1,560,491",129
666,11/2011,SEA - Seattle,Yes,Yes,50,48,98,541,10,521,10
Sub-Total for Yes,,,,,146,153,299,582,3,554,3
Sub-Total for SEA - Seattle,,,,,"12,103","12,113","24,216","1,559,958",128,"1,561,012",128
667,11/2011,SFO - San Francisco,No,No,"15,409","15,386","30,795","2,138,311",138,"2,135,796",138
668,11/2011,SFO - San Francisco,No,Yes,124,118,242,865,6,805,6
Sub-Total for No,,,,,"15,533","15,504","31,037","2,139,176",137,"2,136,601",137
669,11/2011,SFO - San Francisco,Yes,Yes,817,822,"1,639","9,321",11,"9,309",11
Sub-Total for Yes,,,,,941,940,"1,881","10,186",10,"10,114",10
Sub-Total for SFO - San Francisco,,,,,"16,350","16,326","32,676","2,148,497",131,"2,145,910",131
Sub-Total for 11/2011,,,,,"394,455","394,137","788,592","44,973,138",114,"45,085,152",114
670,12/2011,ATL - Atlanta,No,No,"37,225","36,979","74,204","4,783,221",128,"4,748,398",128
671,12/2011,ATL - Atlanta,No,Yes,137,134,271,"1,598",11,"1,561",11
Sub-Total for No,,,,,"37,362","37,113","74,475","4,784,819",128,"4,749,959",127
672,12/2011,ATL - Atlanta,Yes,Yes,146,145,291,"1,493",10,"1,473",10
Sub-Total for Yes,,,,,283,279,562,"3,091",10,"3,034",10
Sub-Total for ATL - Atlanta,,,,,"37,508","37,258","74,766","4,786,312",127,"4,751,432",127
673,12/2011,BOS - Boston,No,No,"11,716","11,695","23,411","1,460,123",124,"1,465,929",125
674,12/2011,BOS - Boston,No,Yes,"1,275",922,"2,197","5,694",4,"4,300",4
Sub-Total for No,,,,,"12,991","12,617","25,608","1,465,817",112,"1,470,229",116
675,12/2011,BOS - Boston,Yes,Yes,520,518,"1,038","5,856",11,"5,817",11
Sub-Total for Yes,,,,,"1,795","1,440","3,235","11,550",6,"10,117",7
Sub-Total for BOS - Boston,,,,,"13,511","13,135","26,646","1,471,673",108,"1,476,046",112
676,12/2011,CLT - Charlotte,No,No,"21,951","21,662","43,613","2,135,881",97,"2,102,541",97
677,12/2011,CLT - Charlotte,No,Yes,472,467,939,"3,173",6,"3,117",6
Sub-Total for No,,,,,"22,423","22,129","44,552","2,139,054",95,"2,105,658",95
678,12/2011,CLT - Charlotte,Yes,Yes,700,684,"1,384","7,766",11,"7,579",11
Sub-Total for Yes,,,,,"1,172","1,151","2,323","10,939",9,"10,696",9
Sub-Total for CLT - Charlotte,,,,,"23,123","22,813","45,936","2,146,820",92,"2,113,237",92
679,12/2011,DEN - Denver,No,No,"25,902","25,652","51,554","2,656,233",102,"2,626,539",102
680,12/2011,DEN - Denver,No,Yes,209,202,411,"1,586",7,"1,535",7
Sub-Total for No,,,,,"26,111","25,854","51,965","2,657,819",101,"2,628,074",101
681,12/2011,DEN - Denver,Yes,Yes,187,184,371,"1,935",10,"1,932",10
Sub-Total for Yes,,,,,396,386,782,"3,521",8,"3,467",8
Sub-Total for DEN - Denver,,,,,"26,298","26,038","52,336","2,659,754",101,"2,630,006",101
682,12/2011,DFW - Dallas/Ft. Worth,No,No,"26,468","26,139","52,607","3,158,051",119,"3,113,055",119
683,12/2011,DFW - Dallas/Ft. Worth,No,Yes,198,174,372,"2,266",11,"1,936",11
Sub-Total for No,,,,,"26,666","26,313","52,979","3,160,317",118,"3,114,991",118
684,12/2011,DFW - Dallas/Ft. Worth,Yes,Yes,191,191,382,"2,013",10,"2,015",10
Sub-Total for Yes,,,,,389,365,754,"4,279",11,"3,951",10
Sub-Total for DFW - Dallas/Ft. Worth,,,,,"26,857","26,504","53,361","3,162,330",117,"3,117,006",117
685,12/2011,DTW - Detroit,No,No,"17,160","17,114","34,274","1,655,811",96,"1,646,295",96
686,12/2011,DTW - Detroit,No,Yes,41,43,84,248,6,269,6
Sub-Total for No,,,,,"17,201","17,157","34,358","1,656,059",96,"1,646,564",95
687,12/2011,DTW - Detroit,Yes,Yes,203,200,403,"2,110",10,"2,066",10
Sub-Total for Yes,,,,,244,243,487,"2,358",9,"2,335",9
Sub-Total for DTW - Detroit,,,,,"17,404","17,357","34,761","1,658,169",95,"1,648,630",94
688,12/2011,EWR - Newark,No,No,"17,315","17,294","34,609","1,995,619",115,"1,986,213",114
689,12/2011,EWR - Newark,No,Yes,258,250,508,"2,258",8,"2,171",8
Sub-Total for No,,,,,"17,573","17,544","35,117","1,997,877",113,"1,988,384",113
690,12/2011,EWR - Newark,Yes,Yes,201,198,399,"2,310",11,"2,301",11
Sub-Total for Yes,,,,,459,448,907,"4,568",9,"4,472",9
Sub-Total for EWR - Newark,,,,,"17,774","17,742","35,516","2,000,187",112,"1,990,685",112
691,12/2011,IAH - Houston,No,No,"22,187","21,970","44,157","2,296,537",103,"2,251,365",102
692,12/2011,IAH - Houston,No,Yes,138,131,269,"1,444",10,"1,362",10
Sub-Total for No,,,,,"22,325","22,101","44,426","2,297,981",102,"2,252,727",101
693,12/2011,IAH - Houston,Yes,Yes,441,450,891,"5,073",11,"5,221",11
Sub-Total for Yes,,,,,579,581,"1,160","6,517",11,"6,583",11
Sub-Total for IAH - Houston,,,,,"22,766","22,551","45,317","2,303,054",101,"2,257,948",100
694,12/2011,JFK - New York,No,No,"16,861","16,605","33,466","2,803,357",166,"2,747,355",165
695,12/2011,JFK - New York,No,Yes,22,29,51,171,7,237,8
Sub-Total for No,,,,,"16,883","16,634","33,517","2,803,528",166,"2,747,592",165
696,12/2011,JFK - New York,Yes,Yes,147,146,293,"1,625",11,"1,615",11
Sub-Total for Yes,,,,,169,175,344,"1,796",10,"1,852",10
Sub-Total for JFK - New York,,,,,"17,030","16,780","33,810","2,805,153",164,"2,749,207",163
697,12/2011,LAS - Las Vegas,No,No,"14,960","14,908","29,868","2,043,565",136,"2,033,061",136
698,12/2011,LAS - Las Vegas,No,Yes,353,369,722,"2,801",7,"2,937",7
Sub-Total for No,,,,,"15,313","15,277","30,590","2,046,366",133,"2,035,998",133
699,12/2011,LAS - Las Vegas,Yes,Yes,"1,828","1,898","3,726","18,970",10,"19,737",10
Sub-Total for Yes,,,,,"2,181","2,267","4,448","21,771",9,"22,674",10
Sub-Total for LAS - Las Vegas,,,,,"17,141","17,175","34,316","2,065,336",120,"2,055,735",119
700,12/2011,LAX - Los Angeles,No,No,"25,069","24,921","49,990","3,472,350",138,"3,437,159",137
701,12/2011,LAX - Los Angeles,No,Yes,68,69,137,526,7,545,7
Sub-Total for No,,,,,"25,137","24,990","50,127","3,472,876",138,"3,437,704",137
702,12/2011,LAX - Los Angeles,Yes,Yes,774,772,"1,546","8,964",11,"9,022",11
Sub-Total for Yes,,,,,842,841,"1,683","9,490",11,"9,567",11
Sub-Total for LAX - Los Angeles,,,,,"25,911","25,762","51,673","3,481,840",134,"3,446,726",133
703,12/2011,LGA - New York,No,No,"14,539","14,597","29,136","1,392,788",95,"1,399,566",95
704,12/2011,LGA - New York,No,Yes,33,33,66,269,8,266,8
Sub-Total for No,,,,,"14,572","14,630","29,202","1,393,057",95,"1,399,832",95
705,12/2011,LGA - New York,Yes,Yes,317,318,635,"3,691",11,"3,676",11
Sub-Total for Yes,,,,,350,351,701,"3,960",11,"3,942",11
Sub-Total for LGA - New York,,,,,"14,889","14,948","29,837","1,396,748",93,"1,403,508",93
706,12/2011,MCO - Orlando,No,No,"12,788","12,746","25,534","1,827,139",142,"1,823,939",143
707,12/2011,MCO - Orlando,No,Yes,192,193,385,951,4,915,4
Sub-Total for No,,,,,"12,980","12,939","25,919","1,828,090",140,"1,824,854",141
708,12/2011,MCO - Orlando,Yes,Yes,640,608,"1,248","6,539",10,"6,256",10
Sub-Total for Yes,,,,,832,801,"1,633","7,490",9,"7,171",8
Sub-Total for MCO - Orlando,,,,,"13,620","13,547","27,167","1,834,629",134,"1,831,110",135
709,12/2011,MIA - Miami,Unknown,Unknown,0,1,1,0,0,200,200
710,12/2011,MIA - Miami,No,No,"16,832","16,654","33,486","2,636,532",156,"2,601,036",156
711,12/2011,MIA - Miami,No,Yes,225,193,418,"1,764",7,"1,493",7
Sub-Total for No,,,,,"17,057","16,847","33,904","2,638,296",154,"2,602,529",154
712,12/2011,MIA - Miami,Yes,Yes,"1,128","1,141","2,269","12,408",11,"12,433",10
Sub-Total for Yes,,,,,"1,353","1,334","2,687","14,172",10,"13,926",10
Sub-Total for MIA - Miami,,,,,"18,185","17,989","36,174","2,650,704",145,"2,615,162",145
713,12/2011,MSP - Minneapolis,No,No,"16,335","16,219","32,554","1,607,292",98,"1,598,662",98
714,12/2011,MSP - Minneapolis,No,Yes,236,232,468,"1,223",5,"1,218",5
Sub-Total for No,,,,,"16,571","16,451","33,022","1,608,515",97,"1,599,880",97
715,12/2011,MSP - Minneapolis,Yes,Yes,547,540,"1,087","5,998",10,"5,936",10
Sub-Total for Yes,,,,,783,772,"1,555","7,221",9,"7,154",9
Sub-Total for MSP - Minneapolis,,,,,"17,118","16,991","34,109","1,614,513",94,"1,605,816",94
716,12/2011,ORD - Chicago,No,No,"35,155","34,763","69,918","3,579,412",101,"3,534,704",101
717,12/2011,ORD - Chicago,No,Yes,172,171,343,"2,096",12,"2,080",12
Sub-Total for No,,,,,"35,327","34,934","70,261","3,581,508",101,"3,536,784",101
718,12/2011,ORD - Chicago,Yes,Yes,222,216,438,"2,476",11,"2,441",11
Sub-Total for Yes,,,,,394,387,781,"4,572",11,"4,521",11
Sub-Total for ORD - Chicago,,,,,"35,549","35,150","70,699","3,583,984",100,"3,539,225",100
719,12/2011,PHL - Philadelphia,No,No,"18,337","18,148","36,485","1,687,285",92,"1,674,968",92
720,12/2011,PHL - Philadelphia,No,Yes,125,117,242,724,5,682,5
Sub-Total for No,,,,,"18,462","18,265","36,727","1,688,009",91,"1,675,650",91
721,12/2011,PHL - Philadelphia,Yes,Yes,556,552,"1,108","5,800",10,"5,776",10
Sub-Total for Yes,,,,,681,669,"1,350","6,524",9,"6,458",9
Sub-Total for PHL - Philadelphia,,,,,"19,018","18,817","37,835","1,693,809",89,"1,681,426",89
722,12/2011,PHX - Phoenix,No,No,"18,701","18,362","37,063","2,248,404",120,"2,228,874",121
723,12/2011,PHX - Phoenix,No,Yes,597,428,"1,025","2,565",4,"1,747",4
Sub-Total for No,,,,,"19,298","18,790","38,088","2,250,969",116,"2,230,621",118
724,12/2011,PHX - Phoenix,Yes,Yes,502,496,998,"4,812",9,"4,742",9
Sub-Total for Yes,,,,,"1,099",924,"2,023","7,377",6,"6,489",7
Sub-Total for PHX - Phoenix,,,,,"19,800","19,286","39,086","2,255,781",113,"2,235,363",115
725,12/2011,SEA - Seattle,No,No,"12,901","12,836","25,737","1,673,589",129,"1,661,819",129
726,12/2011,SEA - Seattle,No,Yes,112,115,227,53,0,55,0
Sub-Total for No,,,,,"13,013","12,951","25,964","1,673,642",128,"1,661,874",128
727,12/2011,SEA - Seattle,Yes,Yes,55,54,109,640,11,624,11
Sub-Total for Yes,,,,,167,169,336,693,4,679,4
Sub-Total for SEA - Seattle,,,,,"13,068","13,005","26,073","1,674,282",128,"1,662,498",127
728,12/2011,SFO - San Francisco,No,No,"16,442","16,274","32,716","2,273,502",138,"2,242,884",137
729,12/2011,SFO - San Francisco,No,Yes,127,130,257,892,7,895,6
Sub-Total for No,,,,,"16,569","16,404","32,973","2,274,394",137,"2,243,779",136
730,12/2011,SFO - San Francisco,Yes,Yes,763,739,"1,502","8,641",11,"8,315",11
Sub-Total for Yes,,,,,890,869,"1,759","9,533",10,"9,210",10
Sub-Total for SFO - San Francisco,,,,,"17,332","17,143","34,475","2,283,035",131,"2,252,094",131
Sub-Total for 12/2011,,,,,"413,902","409,991","823,893","47,528,113",114,"47,062,860",114
731,01/2012,ATL - Atlanta,No,No,"36,866","36,906","73,772","4,708,430",127,"4,717,227",127
732,01/2012,ATL - Atlanta,No,Yes,187,176,363,"2,217",11,"2,110",11
Sub-Total for No,,,,,"37,053","37,082","74,135","4,710,647",127,"4,719,337",127
733,01/2012,ATL - Atlanta,Yes,Yes,205,193,398,"2,078",10,"1,969",10
Sub-Total for Yes,,,,,392,369,761,"4,295",10,"4,079",11
Sub-Total for ATL - Atlanta,,,,,"37,258","37,275","74,533","4,712,725",126,"4,721,306",126
734,01/2012,BOS - Boston,No,No,"11,651","11,622","23,273","1,441,360",123,"1,445,541",124
735,01/2012,BOS - Boston,No,Yes,"1,137",853,"1,990","5,140",4,"3,979",4
Sub-Total for No,,,,,"12,788","12,475","25,263","1,446,500",113,"1,449,520",116
736,01/2012,BOS - Boston,Yes,Yes,527,542,"1,069","5,793",10,"5,948",10
Sub-Total for Yes,,,,,"1,664","1,395","3,059","10,933",6,"9,927",7
Sub-Total for BOS - Boston,,,,,"13,315","13,017","26,332","1,452,293",109,"1,455,468",111
737,01/2012,CLT - Charlotte,No,No,"21,117","21,120","42,237","2,101,355",99,"2,102,713",99
738,01/2012,CLT - Charlotte,No,Yes,439,446,885,"2,982",6,"3,048",6
Sub-Total for No,,,,,"21,556","21,566","43,122","2,104,337",97,"2,105,761",97
739,01/2012,CLT - Charlotte,Yes,Yes,744,736,"1,480","8,032",10,"7,927",10
Sub-Total for Yes,,,,,"1,183","1,182","2,365","11,014",9,"10,975",9
Sub-Total for CLT - Charlotte,,,,,"22,300","22,302","44,602","2,112,369",94,"2,113,688",94
740,01/2012,DEN - Denver,No,No,"24,460","24,456","48,916","2,481,392",101,"2,481,892",101
741,01/2012,DEN - Denver,No,Yes,177,166,343,"1,306",7,"1,252",7
Sub-Total for No,,,,,"24,637","24,622","49,259","2,482,698",100,"2,483,144",100
742,01/2012,DEN - Denver,Yes,Yes,142,141,283,"1,575",11,"1,569",11
Sub-Total for Yes,,,,,319,307,626,"2,881",9,"2,821",9
Sub-Total for DEN - Denver,,,,,"24,779","24,763","49,542","2,484,273",100,"2,484,713",100
743,01/2012,DFW - Dallas/Ft. Worth,No,No,"25,923","25,904","51,827","3,082,526",118,"3,088,563",119
744,01/2012,DFW - Dallas/Ft. Worth,No,Yes,175,154,329,"1,957",11,"1,711",11
Sub-Total for No,,,,,"26,098","26,058","52,156","3,084,483",118,"3,090,274",118
745,01/2012,DFW - Dallas/Ft. Worth,Yes,Yes,204,207,411,"2,217",10,"2,234",10
Sub-Total for Yes,,,,,379,361,740,"4,174",11,"3,945",10
Sub-Total for DFW - Dallas/Ft. Worth,,,,,"26,302","26,265","52,567","3,086,700",117,"3,092,508",117
