Date,Facility,Total_ops,Total Delays,TMI_to,Dep,Abrn,TMI_from_local,TMI_from_non_local,Total_occ_at,Total_local_dep,Abrn_dest_to_Delays,Class_AC,Class_AT,Class_GA,Class_Mil,Cause_Wx,Cause_Vol,Cause_Equip,Cause_Rwy,Cause_Other,Avg_delay_time,Total_delay_time
01/04/2011,PHX,1354,12,2,10,0,0,0,10,10,0,11,1,0,0,0,10,0,2,0,18,216
01/04/2011,SEA,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/04/2011,SFO,1067,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,21,21
Sub-Total for 01/04/2011,,28187,132,49,83,0,8,11,102,91,6,114,18,0,0,50,80,0,2,0,20.98,2769
01/05/2011,ATL,2582,10,2,8,0,0,2,10,8,2,10,0,0,0,8,2,0,0,0,17,170
01/05/2011,BOS,1015,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/2011,CLT,1458,2,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,20,40
01/05/2011,DEN,1791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/2011,DFW,1827,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/2011,DTW,1234,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,22,22
01/05/2011,EWR,1164,3,3,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,30,90
01/05/2011,IAH,1356,3,3,0,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,31,93
01/05/2011,JFK,1083,2,2,0,0,14,5,19,14,0,2,0,0,0,0,2,0,0,0,19,38
01/05/2011,LAS,1532,2,2,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,20,40
01/05/2011,LAX,1567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/2011,LGA,1164,40,10,30,0,0,0,30,30,0,18,22,0,0,0,40,0,0,0,17,680
01/05/2011,MCO,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/2011,MIA,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/2011,MSP,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/2011,ORD,2457,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,22,22
01/05/2011,PHL,1242,4,4,0,0,1,1,2,1,0,4,0,0,0,0,4,0,0,0,23,92
01/05/2011,PHX,1286,2,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,19,38
01/05/2011,SEA,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/05/2011,SFO,1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub-Total for 01/05/2011,,27853,70,32,38,0,15,13,66,53,2,44,25,1,0,9,61,0,0,0,18.93,1325
01/06/2011,ATL,2571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/2011,BOS,1034,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/2011,CLT,1538,2,2,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,21,42
