Date,Facility,Air_Carrier,Air_Taxi,General_Aviation,Military,Total operation
05/27/2013,LAX,"1,332",265,60,2,"1,659"
05/27/2013,LGA,811,204,17,0,"1,032"
05/27/2013,MCO,713,46,15,0,774
05/27/2013,MIA,793,205,63,1,"1,062"
05/27/2013,MSP,736,343,9,0,"1,088"
05/27/2013,ORD,"1,467","1,054",9,0,"2,530"
05/27/2013,PHL,635,513,25,0,"1,173"
05/27/2013,PHX,924,163,21,0,"1,108"
05/27/2013,SEA,833,38,8,0,879
05/27/2013,SFO,850,221,43,4,"1,118"
Sub-Total for 05/27/2013,,"19,269","7,393",607,20,"27,289"
05/28/2013,ATL,"2,059",520,16,1,"2,596"
05/28/2013,BOS,824,265,67,1,"1,157"
05/28/2013,CLT,"1,015",497,68,2,"1,582"
05/28/2013,DEN,"1,216",507,7,0,"1,730"
05/28/2013,DFW,"1,270",655,14,0,"1,939"
05/28/2013,DTW,661,609,16,0,"1,286"
05/28/2013,EWR,793,380,19,0,"1,192"
05/28/2013,IAH,791,657,42,2,"1,492"
05/28/2013,JFK,958,132,29,0,"1,119"
05/28/2013,LAS,928,435,115,0,"1,478"
05/28/2013,LAX,"1,348",264,42,4,"1,658"
05/28/2013,LGA,950,212,14,0,"1,176"
05/28/2013,MCO,721,30,35,1,787
05/28/2013,MIA,787,191,51,6,"1,035"
05/28/2013,MSP,809,395,37,5,"1,246"
