Facility,Date,Name,State,Region,Type,Class,Tower_Operations,TRACON_Operations,Total_Operations
ATL,03/24/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2743,,2743
ATL,03/25/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2726,,2726
ATL,03/26/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2216,,2216
ATL,03/27/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2626,,2626
ATL,03/28/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2696,,2696
ATL,03/29/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2675,,2675
ATL,03/30/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2670,,2670
ATL,03/31/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2659,,2659
ATL,04/01/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2721,,2721
ATL,04/02/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2231,,2231
ATL,04/03/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2526,,2526
ATL,04/04/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2536,,2536
ATL,04/05/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2661,,2661
ATL,04/06/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2663,,2663
ATL,04/07/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2699,,2699
ATL,04/08/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2677,,2677
ATL,04/09/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2224,,2224
ATL,04/10/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2563,,2563
ATL,04/11/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2647,,2647
ATL,04/12/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2597,,2597
ATL,04/13/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2648,,2648
ATL,04/14/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2709,,2709
ATL,04/15/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2585,,2585
ATL,04/16/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2236,,2236
ATL,04/17/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2529,,2529
ATL,04/18/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2706,,2706
ATL,04/19/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2577,,2577
ATL,04/20/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2660,,2660
ATL,04/21/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2731,,2731
ATL,04/22/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2681,,2681
ATL,04/23/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2149,,2149
ATL,04/24/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2483,,2483
ATL,04/25/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2669,,2669
ATL,04/26/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2626,,2626
ATL,04/27/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2399,,2399
ATL,04/28/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2703,,2703
ATL,04/29/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2741,,2741
ATL,04/30/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2184,,2184
ATL,05/01/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2510,,2510
ATL,05/02/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2685,,2685
ATL,05/03/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2620,,2620
ATL,05/04/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2680,,2680
ATL,05/05/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2728,,2728
ATL,05/06/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2706,,2706
ATL,05/07/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2267,,2267
ATL,05/08/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2579,,2579
ATL,05/09/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2689,,2689
ATL,05/10/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2645,,2645
ATL,05/11/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2666,,2666
ATL,05/12/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2726,,2726
ATL,05/13/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2696,,2696
ATL,05/14/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2237,,2237
ATL,05/15/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2567,,2567
ATL,05/16/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2704,,2704
ATL,05/17/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2661,,2661
ATL,05/18/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2678,,2678
ATL,05/19/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2699,,2699
ATL,05/20/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2704,,2704
ATL,05/21/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2261,,2261
ATL,05/22/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2524,,2524
ATL,05/23/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2643,,2643
ATL,05/24/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2656,,2656
ATL,05/25/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2621,,2621
ATL,05/26/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2337,,2337
ATL,05/27/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2887,,2887
ATL,05/28/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2274,,2274
ATL,05/29/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2232,,2232
ATL,05/30/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2578,,2578
ATL,05/31/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2673,,2673
ATL,06/01/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2719,,2719
ATL,06/02/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2759,,2759
ATL,06/03/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2731,,2731
ATL,06/04/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2306,,2306
ATL,06/05/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2628,,2628
ATL,06/06/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2722,,2722
ATL,06/07/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2693,,2693
ATL,06/08/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2716,,2716
ATL,06/09/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2684,,2684
ATL,06/10/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2776,,2776
ATL,06/11/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2393,,2393
ATL,06/12/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2613,,2613
ATL,06/13/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2753,,2753
ATL,06/14/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2727,,2727
ATL,06/15/2011,Hartsfield-Jackson Atlanta Int'l,GA,ASO,Limited,7 - (7) Towers with Radar,2414,,2414
